# s_m,x_m,y_m,trac_dir,kappa_radpm,vx_mps,dist_left_m,dist_right_m
32.199808,15.004405,9.318301,4.648390,-0.235037,4.449871,0.621083,0.641106
32.299807,14.996816,9.218592,4.624238,-0.248012,4.336312,0.630584,0.625108
32.399807,14.986757,9.119103,4.598785,-0.261059,4.219646,0.642340,0.611004
32.499806,14.974104,9.019910,4.572027,-0.274086,4.098975,0.657322,0.600587
32.599806,14.958736,8.921102,4.543825,-0.295537,3.976758,0.675809,0.587912
32.699805,14.940443,8.822794,4.512368,-0.333761,3.859357,0.697631,0.572973
32.799804,14.918879,8.725152,4.477043,-0.372878,3.747223,0.722958,0.555560
32.899804,14.893690,8.628383,4.437775,-0.412518,3.640624,0.754128,0.535374
32.999803,14.864532,8.532737,4.394544,-0.452027,3.539430,0.792257,0.517421
33.099803,14.831085,8.438507,4.347522,-0.483762,3.438521,0.838426,0.498684
33.199802,14.793127,8.346002,4.298160,-0.503934,3.366171,0.878520,0.476043
33.299801,14.750556,8.255528,4.246649,-0.526683,3.289546,0.927881,0.449084
33.399801,14.703281,8.167422,4.192752,-0.551574,3.211123,0.988033,0.417318
33.499800,14.651219,8.082059,4.136283,-0.577995,3.133401,1.060976,0.404012
33.599800,14.594315,7.999846,4.077245,-0.598130,3.077608,1.118333,0.406403
33.699799,14.532605,7.921176,4.017077,-0.605610,3.057583,1.179153,0.404258
